"entity_type","bundle","deleted","entity_id","revision_id","language","delta","field_address_country","field_address_administrative_area","field_address_sub_administrative_area","field_address_locality","field_address_dependent_locality","field_address_postal_code","field_address_thoroughfare","field_address_premise","field_address_sub_premise","field_address_organisation_name","field_address_name_line","field_address_first_name","field_address_last_name","field_address_data"
"node","listing_lodging","0","103","4586521","und","0","US","NC",NULL,"Candler",,,"2630 Smokey Park Hwy",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","104","104","und","0","US",,NULL,,,,,,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","104","4586526","und","0","US",,NULL,,,,,,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","105","105","und","0","US",,NULL,,,,,,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","105","4586531","und","0","US","NC",NULL,"Asheville",,"28806","29 Asheville Cottage Ln",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","106","106","und","0","US",,NULL,,,,,,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","106","4586536","und","0","US",,NULL,,,,,,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","107","107","und","0","US",,NULL,,,,,,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","107","4586541","und","0","US",,NULL,,,,,,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","108","108","und","0","US","NC",NULL,"Lake Lure",,,,,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","108","4586546","und","0","US","NC",NULL,"Lake Lure",,,,,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","111","111","und","0","US","NC",NULL,"Hot Springs",,,"545 Berry Wills Road",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","112","112","und","0","US",,NULL,,,,,,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","112","4586556","und","0","US",,NULL,,,,,,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","114","114","und","0","US",,NULL,,,,,,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","114","4586561","und","0","US","NC",NULL,"Saluda",,"28773","7337 Spartanburg Hwy",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","120","120","und","0","US",,NULL,,,,,,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","120","4586576","und","0","US",,NULL,,,,,,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","121","121","und","0","US",,NULL,,,,,,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","121","4586581","und","0","US","NC",NULL,"Asheville",,"28801","18 Church Street",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_wedding","0","125","125","und","0","US","NC",NULL,"Asheville",,"28801","19 Zillicoa Street",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_wedding","0","125","4588371","und","0","US","NC",NULL,"Asheville",,"28801","19 Zillicoa Street",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_wedding","0","126","126","und","0","US","NC",NULL,"Swannanoa",,"28778","30 Hidden River Drive",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_wedding","0","126","4588376","und","0","US","NC",NULL,"Swannanoa",,"28778","30 Hidden River Drive",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_wedding","0","127","127","und","0","US","NC",NULL,"Asheville",,"28806","22 Celebration Place",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_wedding","0","127","4588381","und","0","US","NC",NULL,"Asheville",,"28806","22 Celebration Place",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_wedding","0","128","128","und","0","US","NC",NULL,"Weaverville",,"28787","288 Upper Flat Creek Road",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_wedding","0","128","4588386","und","0","US","NC",NULL,"Weaverville",,"28787","288 Upper Flat Creek Road",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_wedding","0","130","130","und","0","US","NC",NULL,"Fletcher",,"28732","37 Okoboji Dr",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_wedding","0","130","4588396","und","0","US","NC",NULL,"Fletcher",,"28732","37 Okoboji Dr",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_wedding","0","131","131","und","0","US","NC",NULL,"Asheville",,"28803","115 Hendersonville Road",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_wedding","0","131","4588401","und","0","US","NC",NULL,"Asheville",,"28803","115 Hendersonville Road",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_wedding","0","133","133","und","0","US","NC",NULL,"Flat Rock",,"28731","86 Lily Pad Lane",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_wedding","0","133","4588411","und","0","US","NC",NULL,"Flat Rock",,"28731","86 Lily Pad Lane",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_wedding","0","134","134","und","0","US","NC",NULL,"Asheville",,"28801","49 Broadway",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_wedding","0","135","135","und","0","US","NC",NULL,"Asheville",,"28801","290 Macon Avenue",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_wedding","0","135","4588416","und","0","US","NC",NULL,"Asheville",,"28801","290 Macon Avenue",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_wedding","0","136","136","und","0","US","NC",NULL,"Asheville",,"28803","1 Lodge Street",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_wedding","0","136","4588421","und","0","US","NC",NULL,"Asheville",,"28803","1 Lodge Street",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_wedding","0","137","137","und","0","US","NC",NULL,"Candler",,"28715","215 Justice Ridge Road",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_wedding","0","137","4588426","und","0","US","NC",NULL,"Candler",,"28715","215 Justice Ridge Road",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_wedding","0","138","138","und","0","US","NC",NULL,"Asheville",,"28803","11 Boston Way",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_wedding","0","138","4588431","und","0","US","NC",NULL,"Asheville",,"28803","11 Boston Way",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_wedding","0","140","140","und","0","US","NC",NULL,"Asheville",,"28803","43 Town Square Blvd",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_wedding","0","140","4588436","und","0","US","NC",NULL,"Asheville",,"28803","43 Town Square Blvd",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_wedding","0","141","141","und","0","US","NC",NULL,"Asheville",,"28801","20 South Spruce Street",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_wedding","0","141","4588441","und","0","US","NC",NULL,"Asheville",,"28801","20 South Spruce Street",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_wedding","0","143","143","und","0","US","NC",NULL,"Asheville",,"28801","51 Biltmore Avenue",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_wedding","0","143","4588451","und","0","US","NC",NULL,"Asheville",,"28801","51 Biltmore Avenue",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_wedding","0","144","144","und","0","US","NC",NULL,"Gerton",,"28735","3963 Gerton Highway",,NULL,NULL,NULL,NULL,NULL,NULL
